838, ITS 2.0,Internationalization Tag Set (ITS) Version 2.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
839, Smartcard Cardholder Req.,"Smartcard Specifications - Book 4: Cardholder, Attendant, and Acquirer Interface Requirements                                                                                                                                                                                                                                                                                                                                                                                                                       ",NISP Standard
840, Dublin Core Metadata,The Dublin Core Metadata Element Set                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
841, XEP 0141,XEP-0141: Data Forms Layout                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
842, CSS Style Attr. 2007,CSS Style Attributes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
843, RFC 4519,LDAP: Schema for User Applications                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
844, STIX Version 2.0 Part 5,STIX Patterning                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
845, RFC 4303: IPsec ESP,IP Encapsulating Security Payload (ESP)                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
846, RFC 3501: IMAP,"Internet Message Access Protocol Version 4, revision 1                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",NISP Standard
847,SISO-STD-019-2020,Standard for Command and Control Systems - Simulation Systems Interoperation                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Roadmap Standard
848, RFC 2208: RSVP Guidelines,Resource ReSerVation Protocol (RSVP) -- Version 1 Applicability Statement Some Guidelines on Deployment                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
849, RFC 2104: HMAC,HMAC: Keyed-Hashing for Message Authentication                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
850, SISO CIGI,Common Image Generator Interface (CIGI)                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
851, ODBC,Open Database Connectivity (ODBC) 3.8                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
852, XHTML,"Extensible HyperText Markup Language, version 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",NISP Standard
853,MIP4 Information Exchange Specification 4.X,MIP4 Information Exchange Specification 4.X                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Roadmap Standard
854, TIDE-ID-RR,TIDE Information Discovery (Request-Response) Protocol v2.3                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
855, CL Sesion Protocol,CL Session protocol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
856, RFC 4607,Source-Specific Multicast for IP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
857, Archimate 3.1 Specification,ArchiMate 3.1 Specification                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
858, MPEG-4 Conformance,Coding of audio-visual objects -- Part 4: Conformance testing                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
859, Keyboard Symbols,Keyboard Layouts Part 7: Symbols used to represent functions                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
860, Group 4 Coding,Facsimile coding schemes and coding control functions for group 4 facsimile apparatus                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
861,APP-6B,APP-6B                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,Other standard
862, STANAG 1401 Ed 15,Joint Brevity Words - APP-7 Edition F                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Cover Document
863, RFC 7568,Deprecating Secure Sockets Layer Version 3.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
864, MIL STD 6017D VMF,Variable Message Format (VMF)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
865, JPEG 2000: Wireless,JPEG 2000 image coding system: Wireless                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
866, STANAG 4575 Ed 4,NATO Advanced Data Storage Interface (NADSI) - AEDP-06 Edition B                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Cover Document
867, HTML5,Hypertext Markup Language revision 5 (HTML5)                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
868,DSP0243,Open Virtualization Format Specification                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Roadmap Standard
869, XML SigCore,XML-Signature Syntax and Processing (Second Edition)                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
870, RFC 4028: SIP Session Timer,Session Timers in the Session Initiation Protocol (SIP)                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
871, STANAG 4677 Ed 1,"Dismounted Soldier Systems Standards And Protocols for Command, Control, Communications and Computers (C4) Interoperability (DSS C4 Interoperability)                                                                                                                                                                                                                                                                                                                                                               ",NISP Cover Document
872, RFC 919: Broadcasting,Broadcasting Internet Datagrams                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
873, SwA,SOAP Messages with Attachments (SwA) Profile 1.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
874, ISO/IEC 29500-1 MS Office Basics 2016,Office Open XML File Formats -- Part 1: Fundamentals and Markup Language Reference                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
875, CO/CL Session,CO/CL Session services                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,NISP Standard
876, RFC 3561: AODV,Ad-hoc On-Demand Distance Vector Routing (AODV)                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
877, RFC 1918,Address Allocation for Private Internets                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
878, Connection-oriented Transport,Connection-oriented Transport protocol                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,NISP Standard
879, XPath,XML Path Language 1.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
880, TACOMS: IP Access Protocols,TACOMS: IP Access Protocols                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
881, RFC 7321: ESP/AH,Cryptographic Algorithm Implementation Requirements and Usage Guidance for Encapsulating Security Payload (ESP) and Authentication Header (AH)                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
882, Basic Security Profile 1.1,Basic Security Profile Version 1.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
883,WSMP 1.3.2,Web Service Messaging Profile (WSMP) 1.3.2                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Other standard
884, SQL/CLI,Database languages - SQL - Part 3: Call-Level Interface (SQL/CLI)                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,NISP Standard
885, SISO DSEEP,Distributed Simulation Engineering and Execution Process                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
886, RFC 6477: MMHS and SMTP,Registration of Military Message Handling System (MMHS) Header Fields for Use in Internet Mail                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
887, SIP Connect v.1.1.,SIP Connect v.1.1. - Technical Recommendation (2011)                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
888, ADatP-03 Ed A Ver 1,Concept of NATO Message Text Formatting System (CONFORMETS)                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
889, RFC 7627,Transport Layer Security (TLS) Session Hash and Extended Master Secret Extension                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
890, Fibre 1310 nm,Generic cabling for customer premises                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
891, RFC 6520,Transport Layer Security (TLS) and Datagram Transport Layer Security (DTLS) Heartbeat Extension                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
892, RFC 5936,DNS Zone Transfer Protocol (AXFR)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,NISP Standard
893, XEP-0092,XEP-0092: Software Version                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,NISP Standard
894, RFC 2119,Key words for use in RFCs to Indicate Requirement Levels                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
895, ACP 198(O),Instructions For The Life Cycle Management Of Allied Communications Publications (ACPS)                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
896, XEP 0059,XEP-0059: Result Set Management                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
897, RFC 2491: IPv6 over NBMA networks,IPv6 over Non-Broadcast Multiple Access (NBMA) networks                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
898, APP-11 Ed D Ver 1,NATO Message Catalogue                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,NISP Standard
899,APP-11 NATO Message Catalogue,APP-11 NATO Message Catalogue                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Roadmap Standard
900, STANAG (Study) 4716 Ed 1,NATO standardization of measurement and signature intelligence (MASINT) Reporting - AEDP-16 Edition A                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Cover Document
901, RFC 7521,Assertion Framework for OAuth 2.0 Client Authentication and Authorization Grants                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
902, IEEE QoS,IEEE QoS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
903, ODP Semantics,ODP Part 4: Architectural Semantics                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
904, ATDLP-7.12(A)(1),Standard Operating Procedures for the CRC-SAM Interface - VOL I & II                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
905, RFC 2430: PASTE,A Provider Architecture for Differentiated Services and Traffic Engineering (PASTE)                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
906, STANAG 3377 Ed 6,Air Reconnaissance Intelligence Report Forms                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
907, IDEF0,Function Modeling Method                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
908,IETF RFC 8551: S/MIME,Secure/Multipurpose Internet Mail Extensions (S/MIME) Version 4.0 Message Specification                                                                                                                                                                                                                                                                                                                                                                                                                             ,Other standard
909, GPS (STANAG 4294 Ed 2 Part 2),Navstar Global Positioning System (GPS)(PART II) Summary Of Performance Requirements                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
910, SCIP-233.201,Universal Call-Setup Encryption (CSE) Specification Rev. 1.0.                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
911, STANAG 5500 Ed 8,Concept of NATO Message Text Formatting System (CONFORMETS) - ADatP-3                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Cover Document
912, ITU H.245,Control protocol for multimedia communication                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
913, RFC 3913: BGMP,Border Gateway Multicast Protocol (BGMP)                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
914, MHEG part 4,MHEG Part 4: MHEG registration procedure                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
915, NINE-TP-SB,"NINE-Traffic Protection Suite B Cryptography, v.1.0.4                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",NISP Standard
916, STANAG 4285 Ed 1,Characteristics of 1200/2400/ 3600 bps single tone modulators for HF Radio links                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
917, RFC 3477,Signalling Unnumbered Links in Resource ReSerVation Protocol - Traffic Engineering (RSVP-TE)                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
918, TMForum TMF639,TMForum Resource Inventory Management API REST Specification R17.0.1                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
919, AGeoP-08 Ed B Ver 1,NATO Geospatial Metadata Profile                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
920, XEP-0198,XEP-0198: Stream Management                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
921, RFC 7468,"Textual Encodings of PKIX, PKCS, and CMS Structures                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",NISP Standard
